answer	dog_name
"[0, 0, 0, 0, 0]"	affenpinscher
"[0, 0, 0, 0, 1]"	african
"[0, 0, 0, 1, 0]"	airedale
"[0, 0, 0, 1, 1]"	akita
"[0, 0, 0, 2, 0]"	appenzeller
"[0, 0, 0, 2, 1]"	australian
"[0, 0, 0, 3, 0]"	basenji
"[0, 0, 0, 3, 1]"	beagle
"[0, 0, 1, 0, 0]"	bluetick
"[0, 0, 1, 0, 1]"	borzoi
"[0, 0, 1, 1, 0]"	bouvier
"[0, 0, 1, 1, 1]"	boxer
"[0, 0, 1, 2, 0]"	brabancon
"[0, 0, 1, 2, 1]"	briard
"[0, 0, 1, 3, 0]"	buhund
"[0, 0, 1, 3, 1]"	bulldog
"[0, 0, 2, 0, 0]"	bullterrier
"[0, 0, 2, 0, 1]"	cairn
"[0, 0, 2, 1, 0]"	cattledog
"[0, 0, 2, 1, 1]"	chihuahua
"[0, 0, 2, 2, 0]"	chow
"[0, 0, 2, 2, 1]"	clumber
"[0, 0, 2, 3, 0]"	cockapoo
"[0, 0, 2, 3, 1]"	collie
"[0, 0, 3, 0, 0]"	coonhound
"[0, 0, 3, 0, 1]"	corgi
"[0, 0, 3, 1, 0]"	cotondetulear
"[0, 0, 3, 1, 1]"	dachshund
"[0, 0, 3, 2, 0]"	dalmatian
"[0, 0, 3, 2, 1]"	dane
"[0, 0, 3, 3, 0]"	deerhound
"[0, 0, 3, 3, 1]"	dhole
"[0, 1, 0, 0, 0]"	dingo
"[0, 1, 0, 0, 1]"	doberman
"[0, 1, 0, 1, 0]"	elkhound
"[0, 1, 0, 1, 1]"	entlebucher
"[0, 1, 0, 2, 0]"	eskimo
"[0, 1, 0, 2, 1]"	finnish
"[0, 1, 0, 3, 0]"	frise
"[0, 1, 0, 3, 1]"	germanshepherd
"[0, 1, 1, 0, 0]"	greyhound
"[0, 1, 1, 0, 1]"	groenendael
"[0, 1, 1, 1, 0]"	havanese
"[0, 1, 1, 1, 1]"	hound
"[0, 1, 1, 2, 0]"	husky
"[0, 1, 1, 2, 1]"	keeshond
"[0, 1, 1, 3, 0]"	kelpie
"[0, 1, 1, 3, 1]"	komondor
"[0, 1, 2, 0, 0]"	kuvasz
"[0, 1, 2, 0, 1]"	labradoodle
"[0, 1, 2, 1, 0]"	labrador
"[0, 1, 2, 1, 1]"	leonberg
"[0, 1, 2, 2, 0]"	lhasa
"[0, 1, 2, 2, 1]"	malamute
"[0, 1, 2, 3, 0]"	malinois
"[0, 1, 2, 3, 1]"	maltese
"[0, 1, 3, 0, 0]"	mastiff
"[0, 1, 3, 0, 1]"	mexicanhairless
"[0, 1, 3, 1, 0]"	mix
"[0, 1, 3, 1, 1]"	mountain
"[0, 1, 3, 2, 0]"	newfoundland
"[0, 1, 3, 2, 1]"	otterhound
"[0, 1, 3, 3, 0]"	ovcharka
"[0, 1, 3, 3, 1]"	papillon
"[0, 2, 0, 0, 0]"	pekinese
"[0, 2, 0, 0, 1]"	pembroke
"[0, 2, 0, 1, 0]"	pinscher
"[0, 2, 0, 1, 1]"	pitbull
"[0, 2, 0, 2, 0]"	pointer
"[0, 2, 0, 2, 1]"	pomeranian
"[0, 2, 0, 3, 0]"	poodle
"[0, 2, 0, 3, 1]"	pug
"[0, 2, 1, 0, 0]"	puggle
"[0, 2, 1, 0, 1]"	pyrenees
"[0, 2, 1, 1, 0]"	redbone
"[0, 2, 1, 1, 1]"	retriever
"[0, 2, 1, 2, 0]"	ridgeback
"[0, 2, 1, 2, 1]"	rottweiler
"[0, 2, 1, 3, 0]"	saluki
"[0, 2, 1, 3, 1]"	samoyed
"[0, 2, 2, 0, 0]"	schipperke
"[0, 2, 2, 0, 1]"	schnauzer
"[0, 2, 2, 1, 0]"	setter
"[0, 2, 2, 1, 1]"	sheepdog
"[0, 2, 2, 2, 0]"	shiba
"[0, 2, 2, 2, 1]"	shihtzu
"[0, 2, 2, 3, 0]"	spaniel
"[0, 2, 2, 3, 1]"	springer
"[0, 2, 3, 0, 0]"	stbernard
"[0, 2, 3, 0, 1]"	terrier
"[0, 2, 3, 1, 0]"	vizsla
"[0, 2, 3, 1, 1]"	waterdog
"[0, 2, 3, 2, 0]"	weimaraner
"[0, 2, 3, 2, 1]"	whippet
"[0, 2, 3, 3, 0]"	wolfhound
"[0, 2, 3, 3, 1]"	affenpinscher
"[0, 3, 0, 0, 0]"	african
"[0, 3, 0, 0, 1]"	airedale
"[0, 3, 0, 1, 0]"	akita
"[0, 3, 0, 1, 1]"	appenzeller
"[0, 3, 0, 2, 0]"	australian
"[0, 3, 0, 2, 1]"	basenji
"[0, 3, 0, 3, 0]"	beagle
"[0, 3, 0, 3, 1]"	bluetick
"[0, 3, 1, 0, 0]"	borzoi
"[0, 3, 1, 0, 1]"	bouvier
"[0, 3, 1, 1, 0]"	boxer
"[0, 3, 1, 1, 1]"	brabancon
"[0, 3, 1, 2, 0]"	briard
"[0, 3, 1, 2, 1]"	buhund
"[0, 3, 1, 3, 0]"	bulldog
"[0, 3, 1, 3, 1]"	bullterrier
"[0, 3, 2, 0, 0]"	cairn
"[0, 3, 2, 0, 1]"	cattledog
"[0, 3, 2, 1, 0]"	chihuahua
"[0, 3, 2, 1, 1]"	chow
"[0, 3, 2, 2, 0]"	clumber
"[0, 3, 2, 2, 1]"	cockapoo
"[0, 3, 2, 3, 0]"	collie
"[0, 3, 2, 3, 1]"	coonhound
"[0, 3, 3, 0, 0]"	corgi
"[0, 3, 3, 0, 1]"	cotondetulear
"[0, 3, 3, 1, 0]"	dachshund
"[0, 3, 3, 1, 1]"	dalmatian
"[0, 3, 3, 2, 0]"	dane
"[0, 3, 3, 2, 1]"	deerhound
"[0, 3, 3, 3, 0]"	dhole
"[0, 3, 3, 3, 1]"	dingo
"[0, 4, 0, 0, 0]"	doberman
"[0, 4, 0, 0, 1]"	elkhound
"[0, 4, 0, 1, 0]"	entlebucher
"[0, 4, 0, 1, 1]"	eskimo
"[0, 4, 0, 2, 0]"	finnish
"[0, 4, 0, 2, 1]"	frise
"[0, 4, 0, 3, 0]"	germanshepherd
"[0, 4, 0, 3, 1]"	greyhound
"[0, 4, 1, 0, 0]"	groenendael
"[0, 4, 1, 0, 1]"	havanese
"[0, 4, 1, 1, 0]"	hound
"[0, 4, 1, 1, 1]"	husky
"[0, 4, 1, 2, 0]"	keeshond
"[0, 4, 1, 2, 1]"	kelpie
"[0, 4, 1, 3, 0]"	komondor
"[0, 4, 1, 3, 1]"	kuvasz
"[0, 4, 2, 0, 0]"	labradoodle
"[0, 4, 2, 0, 1]"	labrador
"[0, 4, 2, 1, 0]"	leonberg
"[0, 4, 2, 1, 1]"	lhasa
"[0, 4, 2, 2, 0]"	malamute
"[0, 4, 2, 2, 1]"	malinois
"[0, 4, 2, 3, 0]"	maltese
"[0, 4, 2, 3, 1]"	mastiff
"[0, 4, 3, 0, 0]"	mexicanhairless
"[0, 4, 3, 0, 1]"	mix
"[0, 4, 3, 1, 0]"	mountain
"[0, 4, 3, 1, 1]"	newfoundland
"[0, 4, 3, 2, 0]"	otterhound
"[0, 4, 3, 2, 1]"	ovcharka
"[0, 4, 3, 3, 0]"	papillon
"[0, 4, 3, 3, 1]"	pekinese
"[1, 0, 0, 0, 0]"	pembroke
